Name,Type événement,Date,Date seule,Heure de début,Date de fin,Heure de fin,Durée Evènement,Après-midi / Matin / Journée,Campus,Zone de vacances scolaires,Nb inscrits,Genre (from Inscription),Genre_Inscription_nettoye,Nb présents,Genre (from Présence),Genre_Presence_nettoye,Nb_hommes_presents,Nb_femmes_presents,Nb_non_specifie,🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Lille_14/05/2025,JPO,14/5/2025 13:30,14/05/2025,13:30,14/5/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,5,"homme,homme,homme,femme,homme","homme,homme,homme,femme,homme",2,"homme,homme","homme,homme",2,0,0,"40,00%",0%,0
JPO_Lille_26/04/2025,JPO,26/4/2025 13:30,26/04/2025,13:30,26/4/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,26,"homme,homme,femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,femme,homme,femme,femme,homme","homme,homme,femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,femme,homme,femme,femme,homme",4,"homme,femme,homme,homme","homme,femme,homme,homme",3,1,0,"15,38%",0%,0
JPO_Lille_11/01/2025,JPO,11/1/2025 13:30,11/01/2025,13:30,11/1/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,7,"homme,homme,homme,homme,homme,femme","homme,homme,homme,homme,homme,femme",4,"femme,homme,femme","femme,homme,femme",1,2,0,"57,14%",0%,0
JPO_Paris_14/01/2026,JPO,14/1/2026 13:30,14/01/2026,13:30,14/1/2026 16:30,16:30,03:00,Après-midi,IDF,Zone B,18,"homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,femme,homme,femme,homme,femme,non spécifié,homme","homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,femme,homme,femme,homme,femme,non spécifié,homme",2,"homme,homme","homme,homme",2,0,0,"11,11%",100%,2
Vis-ma-vie_Paris_28/08/2025,Vis-ma-vie,28/8/2025 10:00,28/08/2025,10:00,28/8/2025 17:00,17:00,07:00,Journée,IDF,Zone B,8,"homme,homme,homme,femme,homme,homme,homme,homme","homme,homme,homme,femme,homme,homme,homme,homme",7,"homme,homme,homme,femme,homme,homme,homme","homme,homme,homme,femme,homme,homme,homme",6,1,0,"87,50%",100%,7
JPO_Paris_20/09/2025,JPO,20/9/2025 09:30,20/09/2025,09:30,20/9/2025 12:30,12:30,03:00,Matin,IDF,Zone B,48,"femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,homme,homme,femme,homme,femme,femme,non spécifié,homme,homme,femme,non spécifié,non spécifié,homme,femme,homme,homme,homme","femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,homme,homme,femme,homme,femme,femme,non spécifié,homme,homme,femme,non spécifié,non spécifié,homme,femme,homme,homme,homme",11,"homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme","homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",10,1,0,"22,92%","72,73%",8
JPO_Paris_03/09/2025,JPO,3/9/2025 13:30,03/09/2025,13:30,3/9/2025 16:30,16:30,03:00,Après-midi,IDF,Zone B,32,"homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,non spécifié,femme,non spécifié,homme,homme,non spécifié,homme,homme,femme,homme,homme,non spécifié,homme,homme,non spécifié,homme,homme,homme,femme,homme,homme","homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,non spécifié,femme,non spécifié,homme,homme,non spécifié,homme,homme,femme,homme,homme,non spécifié,homme,homme,non spécifié,homme,homme,homme,femme,homme,homme",10,"homme,homme,femme,homme,homme,homme,homme,femme,homme,homme","homme,homme,femme,homme,homme,homme,homme,femme,homme,homme",8,2,0,"31,25%",60%,6
JPO_Paris_14/05/2025,JPO,14/5/2025 13:30,14/05/2025,13:30,14/5/2025 17:00,17:00,03:30,Après-midi,IDF,Zone B,18,"homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme","homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme","homme,homme,homme,femme,homme",4,1,0,"27,78%",60%,3
JPO_Paris_07/03/2026,JPO,7/3/2026 09:30,07/03/2026,09:30,7/3/2026 13:00,13:00,03:30,Matin,IDF,Zone B,30,"homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,non spécifié,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,femme,femme,homme,femme","homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,non spécifié,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,femme,femme,homme,femme",2,"homme,homme","homme,homme",2,0,0,"6,67%",50%,1
JPO_Paris_09/04/2025,JPO,9/4/2025 13:30,09/04/2025,13:30,9/4/2025 17:00,17:00,03:30,Après-midi,IDF,Zone B,15,"femme,homme,homme,homme,homme,homme,non spécifié,homme,femme,homme,homme,femme,femme,homme,homme","femme,homme,homme,homme,homme,homme,non spécifié,homme,femme,homme,homme,femme,femme,homme,homme",6,"homme,femme,homme,homme,homme,homme","homme,femme,homme,homme,homme,homme",5,1,0,"40,00%",50%,3
JPO_Paris_05/07/2025,JPO,5/7/2025 13:30,05/07/2025,13:30,5/7/2025 17:00,17:00,03:30,Après-midi,IDF,Zone B,29,"homme,homme,femme,homme,femme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme","homme,homme,femme,homme,femme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",10,"femme,homme,homme,homme,homme,homme,homme,femme,homme,homme","femme,homme,homme,homme,homme,homme,homme,femme,homme,homme",8,2,0,"34,48%",40%,4
